name,female_sum,male_sum,both_sums,per_diff
ezelle,74,39,113,61.94690265486725
kelton,26,6604,6630,198.4313725490196
lamont,165,23975,24140,197.2659486329743
rhian,889,126,1015,150.3448275862069
braylinn,139,5,144,186.11111111111111
salma,10032,5,10037,199.80073727209327
beckham,260,18137,18397,194.34690438658478
rashad,85,16151,16236,197.9058881497906
arba,16,47,63,98.4126984126984
leshaun,28,235,263,157.4144486692015
trellis,344,103,447,107.82997762863535
tiante,16,5,21,104.76190476190477
bora,199,407,606,68.64686468646865
tarae,109,10,119,166.38655462184875
terrill,714,4365,5079,143.76845835794447
karlen,147,16,163,160.7361963190184
ying,260,140,400,60.0
ramsay,70,381,451,137.91574279379157
denise,373296,1368,374664,198.5394913842803
merideth,1755,6,1761,198.63713798977852
shale,21,56,77,90.9090909090909
leland,543,57374,57917,196.24980575651364
kolbey,22,237,259,166.02316602316603
amariah,3558,23,3581,197.43088522759007
kendyll,1542,24,1566,193.8697318007663
coyote,5,135,140,185.71428571428572
monico,17,787,804,191.54228855721394
chrishawn,48,560,608,168.42105263157893
georgie,12636,1629,14265,154.3217665615142
lowry,27,472,499,178.3567134268537
elree,14,34,48,83.33333333333334
reilly,5467,4510,9977,19.18412348401323
phinley,77,31,108,85.18518518518519
regan,16226,3730,19956,125.23551813990778
sukhman,75,88,163,15.950920245398773
chae,175,148,323,16.718266253869967
mystikal,5,17,22,109.09090909090908
ayaat,271,8,279,188.53046594982078
stanley,1437,301142,302579,198.10033082269425
shia,1058,2115,3173,66.62464544595021
damarea,10,155,165,175.75757575757575
ekene,16,26,42,47.61904761904761
beckett,1267,26626,27893,181.83056680887677
ova,1364,528,1892,88.37209302325581
cornell,348,11333,11681,188.08321205376254
durelle,23,96,119,122.6890756302521
wilmot,5,454,459,195.64270152505446
andersen,311,921,1232,99.02597402597402
lacy,20142,6474,26616,102.70513976555455
uchenna,190,434,624,78.2051282051282
karis,6648,104,6752,193.8388625592417
osean,7,43,50,144.0
loretta,177072,502,177574,198.86920382488427
khiry,7,1156,1163,197.59243336199484
deryl,190,1826,2016,162.3015873015873
zen,552,2528,3080,128.3116883116883
zavi,5,80,85,176.47058823529412
berlie,103,188,291,58.4192439862543
quinci,308,37,345,157.1014492753623
karmon,203,5,208,190.3846153846154
layle,17,5,22,109.09090909090908
dedrick,16,4442,4458,198.56437864513234
andrel,5,40,45,155.55555555555557
moises,52,30839,30891,199.32666472435335
davyn,74,604,678,156.34218289085547
toy,967,1152,2119,17.46106654082114
antonie,21,779,800,189.5
joee,94,5,99,179.7979797979798
carsyn,4272,1894,6166,77.13266299059359
scotty,331,18899,19230,193.11492459698388
shunta,732,29,761,184.75689881734561
antiona,5,18,23,113.04347826086956
rayan,1023,8394,9417,156.54667091430392
kyari,165,49,214,108.41121495327101
taygan,188,20,208,161.53846153846155
anari,1006,102,1108,163.17689530685922
yireh,75,18,93,122.58064516129032
elisa,46979,143,47122,198.78612962098384
neon,7,75,82,165.85365853658536
kieryn,195,61,256,104.6875
finis,5,2195,2200,199.0909090909091
bravery,69,141,210,68.57142857142857
telly,82,1527,1609,179.61466749533872
blaine,1216,32843,34059,185.71889955665168
nana,2514,850,3364,98.92984542211653
oshay,39,400,439,164.46469248291572
diane,518590,1384,519974,198.93533138195372
lan,769,310,1079,85.07877664504171
michae,52,493,545,161.8348623853211
solis,16,30,46,60.86956521739131
maple,3055,5,3060,199.34640522875816
manar,722,5,727,197.24896836313616
willa,32077,24,32101,199.7009438958288
arrin,69,95,164,31.70731707317073
rodie,15,10,25,40.0
ace,153,24064,24217,197.47284965107156
dylyn,36,90,126,85.71428571428571
khalis,105,37,142,95.77464788732394
mayan,344,250,594,31.64983164983165
carole,110677,264,110941,199.04814270648365
kagan,73,646,719,159.38803894297635
arya,27666,2281,29947,169.53284135305705
daryan,260,565,825,73.93939393939394
kunga,21,96,117,128.2051282051282
mackenzi,2044,11,2055,197.8588807785888
andre,2205,129780,131985,193.31742243436753
paysen,196,95,291,69.41580756013745
nayeli,23493,14,23507,199.76177308886716
waldo,6,5711,5717,199.58019940528249
dewie,16,239,255,174.90196078431373
tanay,331,563,894,51.90156599552572
vicky,53507,440,53947,196.7375386953862
andrian,96,599,695,144.74820143884892
mercer,208,1293,1501,144.57028647568288
gannon,5,6611,6616,199.69770253929866
metzli,435,6,441,194.5578231292517
nacari,13,45,58,110.34482758620689
sonnet,363,5,368,194.56521739130434
adie,151,16,167,161.67664670658684
shelvy,333,64,397,135.51637279596977
shauna,28060,50,28110,199.2885094272501
reegan,1178,351,1529,108.17527795945061
langstyn,17,6,23,95.65217391304348
tony,2889,251269,254158,195.45322201150466
teaghan,1056,76,1132,173.14487632508835
chesney,2602,157,2759,177.2381297571584
kayan,228,381,609,50.24630541871922
euri,41,7,48,141.66666666666669
rhen,172,320,492,60.16260162601627
shahad,264,5,269,192.56505576208178
jaimison,5,15,20,100.0
osa,673,87,760,154.21052631578945
azani,193,34,227,140.08810572687224
neal,257,54960,55217,198.13825452306355
zior,5,5,10,0.0
booker,5,12050,12055,199.8340937370386
edie,5579,80,5659,194.34529068740062
kip,154,8465,8619,192.85299918784082
kaedan,5,379,384,194.79166666666669
dristen,5,44,49,159.18367346938774
ayooluwa,10,16,26,46.15384615384615
kensly,223,5,228,191.2280701754386
jamey,3046,6731,9777,75.38099621560806
jensen,2839,16132,18971,140.14021401085867
demilade,41,70,111,52.25225225225225
randyl,11,55,66,133.33333333333331
kyarie,27,5,32,137.5
orlando,242,49177,49419,198.04123919949816
azar,5,172,177,188.70056497175142
mayze,65,7,72,161.11111111111111
kiren,33,196,229,142.35807860262008
kaili,2872,41,2913,194.3700652248541
zyaire,702,7720,8422,166.65875089052483
janai,3057,88,3145,188.80763116057233
dezmyn,5,22,27,125.92592592592592
shinya,16,27,43,51.162790697674424
denari,5,61,66,169.6969696969697
sekani,240,1159,1399,131.3795568263045
winnie,26460,228,26688,196.58273381294964
adeline,76925,26,76951,199.86484905979128
phuong,1033,282,1315,114.22053231939164
hagen,243,3111,3354,171.0196779964222
ahsani,6,5,11,18.181818181818183
macklyn,257,73,330,111.51515151515153
nolynn,82,28,110,98.18181818181819
charles,12466,2428685,2441151,197.9573570008574
donsha,26,25,51,3.9215686274509802
yuan,37,160,197,124.8730964467005
montrose,6,6,12,0.0
adryn,6,26,32,125.0
dwight,320,78541,78861,198.37689098540469
carlin,1922,2613,4535,30.47409040793826
dima,397,79,476,133.61344537815125
gayla,10838,6,10844,199.77867945407598
conner,857,56111,56968,193.98258671534896
oakland,244,1247,1491,134.54057679409792
alexiss,528,20,548,185.4014598540146
veo,6,15,21,85.71428571428571
kiani,1265,30,1295,190.73359073359072
gianni,3264,14910,18174,128.16110927698912
diorr,14,5,19,94.73684210526315
lynel,64,15,79,124.0506329113924
zealand,72,830,902,168.0709534368071
letha,19137,25,19162,199.47813380649202
mikhal,5,37,42,152.38095238095238
roshan,129,1757,1886,172.6405090137858
chika,350,28,378,170.37037037037038
jaycee,10893,1558,12451,149.9477953578026
neftaly,170,371,541,74.3068391866913
anthony,7104,1481986,1489090,198.09172044671578
jelen,10,18,28,57.14285714285714
jacolby,15,1542,1557,196.14643545279384
giovani,5,7467,7472,199.73233404710922
machenzie,32,5,37,145.94594594594594
creedance,7,15,22,72.72727272727273
kamryn,24261,5259,29520,128.739837398374
jaelyn,14101,1381,15482,164.31985531585067
osvaldo,12,14394,14406,199.6668054977093
miller,2235,10306,12541,128.71381867474682
brecken,858,4876,5734,140.14649459365188
bellamie,319,5,324,193.82716049382717
harsha,19,229,248,169.35483870967744
tory,3904,6966,10870,56.33854645814167
mayo,256,1236,1492,131.36729222520108
jovi,2011,666,2677,100.48561822936122
dorey,48,7,55,149.0909090909091
maison,791,4422,5213,139.30558219835027
rameen,283,105,388,91.75257731958763
amil,264,967,1231,114.21608448415923
levert,5,588,593,196.6273187183811
dabney,391,232,623,51.04333868378812
rus,75,11,86,148.8372093023256
marciel,84,10,94,157.4468085106383
mackinley,418,356,774,16.020671834625322
no,12,6,18,66.66666666666666
misty,84619,237,84856,198.88281323654192
kamyri,93,5,98,179.59183673469389
rhea,19281,408,19689,191.7111077251257
favor,487,130,617,115.72123176661265
gladys,266666,1023,267689,198.47136042198224
aubrey,131479,31019,162498,123.64459870275326
juno,1591,381,1972,122.71805273833671
albert,2559,491391,493950,197.92772547828727
dara,13484,807,14291,177.41235742775172
baby,6078,6325,12403,3.9829073611223094
luby,52,291,343,139.35860058309038
julie,510948,1524,512472,198.810471596497
deavin,5,127,132,184.84848484848484
innocent,5,71,76,173.6842105263158
elysian,53,88,141,49.645390070921984
ismar,11,99,110,160.0
gabreal,41,149,190,113.68421052631578
brent,567,139687,140254,198.3829338200693
luan,515,941,1456,58.51648351648352
aizel,94,5,99,179.7979797979798
shelva,1117,14,1131,195.04862953138814
bixby,17,20,37,16.216216216216218
kaisen,12,2314,2326,197.93637145313843
ohara,20,6,26,107.6923076923077
monet,4505,6,4511,199.46796719131012
jonathan,3570,866991,870561,198.3596784142639
jacquell,15,16,31,6.451612903225806
malachia,20,11,31,58.06451612903226
norma,277973,1278,279251,198.16938882940437
sayge,512,127,639,120.50078247261347
yinuo,46,24,70,62.857142857142854
alik,5,376,381,194.750656167979
avin,70,1016,1086,174.21731123388582
hoa,270,262,532,3.007518796992481
kwanzaa,34,5,39,148.71794871794873
christain,305,2106,2411,149.39858979676484
clovis,627,3070,3697,132.16121179334596
bauer,6,814,820,197.0731707317073
kemauri,56,368,424,147.16981132075472
nathanael,17,21774,21791,199.68794456426966
hieu,28,827,855,186.90058479532163
elmer,1753,129416,131169,194.65422470248305
cloyce,121,877,998,151.50300601202403
timmie,350,3250,3600,161.11111111111111
dores,18,5,23,113.04347826086956
lundon,240,102,342,80.7017543859649
yule,5,5,10,0.0
tajae,282,198,480,35.0
meher,805,12,817,194.124847001224
lorel,288,5,293,193.17406143344712
jakari,294,4848,5142,177.12952158693116
lenyn,21,22,43,4.651162790697675
reylin,81,21,102,117.64705882352942
surya,328,1168,1496,112.29946524064172
omarion,5,3954,3959,199.49482192472848
jahkai,5,674,679,197.05449189985274
isreal,58,4635,4693,195.05646707862775
tamari,686,397,1083,53.37026777469991
loris,1701,579,2280,98.42105263157895
oli,17,125,142,152.11267605633802
bret,232,29798,30030,196.9097569097569
hampton,221,4656,4877,181.8741029321304
jessiah,342,2196,2538,146.09929078014184
hensley,1947,174,2121,167.1852899575672
shean,6,414,420,194.28571428571428
jasnoor,158,20,178,155.0561797752809
darling,998,15,1013,194.07699901283317
malakai,57,16157,16214,198.59380782040213
kyden,23,1610,1633,194.3661971830986
raydean,5,5,10,0.0
dean,2908,190040,192948,193.9714327176234
vega,715,178,893,120.26875699888018
jaqualyn,11,96,107,158.87850467289718
prabhnoor,57,30,87,62.06896551724138
rylan,6434,33753,40187,135.95938985243984
yali,95,31,126,101.58730158730158
eyden,5,766,771,197.40596627756162
miel,195,11,206,178.64077669902915
charron,361,50,411,151.338199513382
jazmine,38136,99,38235,198.9642997253825
maritza,23093,79,23172,198.63628517175903
zekiah,94,328,422,110.90047393364928
kyro,13,2512,2525,197.94059405940595
kahri,55,77,132,33.33333333333333
lemon,329,1071,1400,106.0
dolly,20479,44,20523,199.14242557131024
ryian,92,56,148,48.64864864864865
neng,5,78,83,175.9036144578313
allyson,53553,21,53574,199.84320752603875
amine,23,455,478,180.7531380753138
sung,69,444,513,146.19883040935673
andin,5,53,58,165.51724137931035
caelen,67,536,603,155.55555555555557
danyelle,5763,37,5800,197.44827586206895
fisher,65,6259,6324,195.88867805186592
desi,1014,2324,3338,78.49011384062314
raihan,25,280,305,167.21311475409837
mervin,38,12259,12297,198.76392616085224
jonnah,29,33,62,12.903225806451612
noelle,42931,115,43046,198.93137573758307
rhodie,134,5,139,185.6115107913669
maxine,115010,377,115387,198.69309367606402
adrianna,47970,23,47993,199.8083053778676
johnnye,843,36,879,183.61774744027304
larin,80,58,138,31.88405797101449
averey,464,206,670,77.01492537313432
man,150,207,357,31.932773109243694
camoni,74,13,87,140.22988505747128
ardel,97,31,128,103.125
mateo,73,115568,115641,199.74749440077483
roxanne,59359,55,59414,199.62971690174035
deane,1304,2752,4056,71.40039447731755
korri,629,6,635,196.22047244094486
lorian,233,23,256,164.0625
shain,26,1209,1235,191.57894736842104
natasha,97446,285,97731,198.8335328606072
lakshya,59,86,145,37.24137931034483
swan,78,124,202,45.54455445544555
novel,34,53,87,43.67816091954023
tilian,5,171,176,188.63636363636365
